漏えい	Leakage
当該	So
塔	Tower
漏洩	leakage
ガス	gas
配管	Piping
熱交換器	Heat exchanger
脱硫	Destroyer
箇所	part
器	vessel
気密	Intensity
水添	Aloud
軽油	Light oil
縁切り	Cut -off
液	liquid
発	Departure
MPA	Mpa
反応器	Reactor
材	Material
冷媒	Refrigerant
覚知	Perception
継手	Fixture
蒸発器	Evaporator
臭気	Odor
後	rear
漏れ	leak
ブタジエン	butadiene
要領	Point of view
内	Inside
槽	Tank
冷凍機	refrigerator
定	Establishment
修	Training
定常	Permanent
貯槽	Tank storage
閉止	Closing
量	amount
質	quality
臭	Odor
事	case
側	~ side
充てん	Subdivision
出火	Firing
増し締め	Greater closing
部	Department
架台	Stand
法	Law
減	Reduction
報	Report
計	Meter
計器	Instrument
Kg	Kg
石	stone
雨水	Rainwater
改	Alteration
イソブチレン	Isobutylene
払出	Paying out
押え	Pressing
フロン	Fron
ローリー	Rally
重合	polymerization
時	Time
下部	beneath
機	Machine
五十	Fifty
個所	Place
吐出	vomit
入	Entering
冷却器	Cooler
分	Part
厚	Thickness
取付け	Mounting
同日	Same day
基	Base
安全弁	safety valve
温	Warmth
管	tube
浸入	Entering
為	In addition
置換	Replacement
非	Unlucky
遮断	Blocking
ｍｍ	mm
けん水	Fluffy water
その後	after that
錆	rust
高圧ガス	High -pressure gas
泡	foam
溶射	Soluble
ナフサ	naphtha
パッ	Paddy
キン	Kin
締結	conclusion
フランジ	Flango
フレア	Flare
ブタジエンガス	Butadilleengus
プラント	plant
及び	as well as
移	Transition
試験	test
圧縮機	Compressor
仕込	Preparation
係員	Clerk
保温	Heat insulation
入口	entrance
系	system
内層	Inner layer
原因	Cause
原料	material
取付	Mounting
受入	Accepting
化	Change
頂	Top
増し	Addition
締め	Closing
運転	drive
導管	conduit
小火	Small fire
工事	construction
廃	Abolition
応力	stress
応力腐食割れ	Strength corrosion crack
接触改質	Contact modification
業者	Business
機器	device
気体	gas
水素化脱硫装置	Hydrogen debridification device
点検	inspection
無い	No
ｓｕｓ	SUS
災	Disaster
直ちに	right away
孔	Hole
破断	Break
窒素	nitrogen
経年	Age
締付け	Tightening
膨張	expansion
計装	instrumentation
誤	Incorrect
課員	Instructor
近傍	Vicinity
逆止弁	non-return valve
進行	Progress
重合反応	Polymerization reaction
銅管	Copper tube
銘柄	Stock
除	Exclusion
害	harm
リング	ring